Date,Close/Last,Open,High,Low
05/23/2025,5802.82,5781.89,5829.51,5767.41
05/22/2025,5842.01,5841.26,5878.08,5825.82
05/21/2025,5844.61,5910.18,5938.37,5830.91
05/20/2025,5940.46,5944.66,5953.06,5909.26
05/19/2025,5963.60,5902.88,5968.61,5895.69
05/16/2025,5958.38,5929.09,5958.62,5907.36
05/15/2025,5916.93,5869.82,5924.21,5865.16
05/14/2025,5892.58,5896.74,5906.55,5872.11
05/13/2025,5886.55,5854.15,5906.64,5845.02
05/12/2025,5844.19,5807.20,5845.37,5786.08
05/09/2025,5659.91,5679.65,5691.69,5644.15
05/08/2025,5663.94,5663.60,5720.10,5635.38
05/07/2025,5631.28,5614.18,5654.73,5578.64
05/06/2025,5606.91,5605.87,5649.58,5586.04
05/05/2025,5650.38,5655.32,5683.38,5634.48
05/02/2025,5686.67,5645.88,5700.70,5642.28
05/01/2025,5604.14,5625.14,5658.91,5597.35
04/30/2025,5569.06,5499.44,5581.84,5433.24
04/29/2025,5560.83,5508.87,5571.95,5505.70
04/28/2025,5528.75,5529.22,5553.66,5468.64
04/25/2025,5525.21,5489.73,5528.11,5455.86
04/24/2025,5484.77,5381.38,5489.40,5371.96
04/23/2025,5375.86,5395.92,5469.69,5356.17
04/22/2025,5287.76,5207.67,5309.61,5207.67
04/21/2025,5158.20,5232.94,5232.94,5101.63
04/17/2025,5282.70,5305.45,5328.31,5255.58
04/16/2025,5275.70,5335.75,5367.24,5220.79
04/15/2025,5396.63,5411.99,5450.41,5386.44
04/14/2025,5405.97,5441.96,5459.46,5358.02
04/11/2025,5363.36,5255.56,5381.46,5220.77
04/10/2025,5268.05,5353.15,5353.15,5115.27
04/09/2025,5456.90,4965.28,5481.34,4948.43
04/08/2025,4982.77,5193.57,5267.47,4910.42
04/07/2025,5062.25,4953.79,5246.57,4835.04
04/04/2025,5074.08,5292.14,5292.14,5069.90
04/03/2025,5396.52,5492.74,5499.53,5390.83
04/02/2025,5670.97,5580.76,5695.31,5571.48
04/01/2025,5633.07,5597.53,5650.57,5558.52
03/31/2025,5611.85,5527.91,5627.56,5488.73
03/28/2025,5580.94,5679.20,5685.89,5572.42
03/27/2025,5693.31,5695.64,5732.28,5670.94
03/26/2025,5712.20,5771.66,5783.62,5694.41
03/25/2025,5776.65,5775.96,5786.95,5760.42
03/24/2025,5767.57,5718.08,5775.14,5718.08
03/21/2025,5667.56,5630.73,5670.84,5603.10
03/20/2025,5662.89,5646.92,5711.15,5632.33
03/19/2025,5675.29,5632.37,5715.33,5622.20
03/18/2025,5614.66,5654.53,5654.53,5597.76
