Date,Close/Last,Volume,Open,High,Low
05/23/2025,$450.18,16883510,$449.98,$453.69,$448.91
05/22/2025,$454.86,18025610,$454.95,$460.25,$453.90
05/21/2025,$452.57,19216910,$454.57,$457.78,$451.814
05/20/2025,$458.17,15441810,$455.59,$458.34,$454.3201
05/19/2025,$458.87,21336510,$450.875,$459.585,$450.80
05/16/2025,$454.27,23849780,$452.05,$454.36,$448.73
05/15/2025,$453.13,21992320,$450.765,$456.19,$450.4301
05/14/2025,$452.94,19902800,$448.14,$453.90,$448.14
05/13/2025,$449.14,23618820,$447.78,$450.6733,$445.36
05/12/2025,$449.26,22821940,$445.94,$449.37,$439.78
05/09/2025,$438.73,15324230,$440.00,$440.74,$435.88
05/08/2025,$438.17,23491330,$437.93,$443.67,$435.66
05/07/2025,$433.35,23307240,$433.84,$438.12,$431.1103
05/06/2025,$433.31,15104200,$432.20,$437.73,$431.17
05/05/2025,$436.17,20136050,$432.87,$439.50,$432.11
05/02/2025,$435.28,30757430,$431.74,$439.44,$429.985
05/01/2025,$425.40,58938100,$431.11,$436.99,$424.90
04/30/2025,$395.26,36461080,$390.30,$396.66,$384.44
04/29/2025,$394.04,14973980,$391.30,$395.10,$390.38
04/28/2025,$391.16,16579430,$391.955,$392.74,$386.638
04/25/2025,$391.85,18973170,$387.00,$392.16,$384.60
04/24/2025,$387.30,22232290,$375.695,$388.45,$375.19
04/23/2025,$374.39,20545530,$376.06,$380.39,$373.02
04/22/2025,$366.82,19484990,$363.375,$367.77,$359.8602
04/21/2025,$359.12,20807280,$362.815,$364.48,$355.67
04/17/2025,$367.78,21120190,$373.745,$374.3215,$366.89
04/16/2025,$371.61,21967830,$380.67,$381.61,$368.00
04/15/2025,$385.73,17199890,$388.505,$391.89,$384.1599
04/14/2025,$387.81,19251170,$393.22,$394.65,$384.21
04/11/2025,$388.45,23839220,$380.635,$390.05,$378.89
04/10/2025,$381.35,38024370,$382.06,$383.90,$367.80
04/09/2025,$390.49,50199700,$353.535,$393.225,$353.10
04/08/2025,$354.56,35868920,$368.255,$373.65,$350.25
04/07/2025,$357.86,50425000,$350.88,$370.9999,$344.79
04/04/2025,$359.84,49209850,$364.125,$374.59,$359.48
04/03/2025,$373.11,30198000,$374.785,$377.48,$369.35
04/02/2025,$382.14,16092560,$377.965,$385.08,$376.62
04/01/2025,$382.19,19689500,$374.65,$382.85,$373.23
03/31/2025,$375.39,35184680,$372.535,$377.07,$367.24
03/28/2025,$378.80,21632020,$388.08,$389.13,$376.93
03/27/2025,$390.58,13766760,$390.13,$392.24,$387.395
03/26/2025,$389.97,16132910,$395.00,$395.31,$388.57
03/25/2025,$395.16,15774970,$393.915,$396.36,$392.64
03/24/2025,$393.08,21004550,$395.40,$395.40,$389.81
03/21/2025,$391.26,39675930,$383.215,$391.74,$382.80
03/20/2025,$386.84,18470540,$385.735,$391.785,$383.28
03/19/2025,$387.82,19185530,$385.525,$389.68,$384.00
03/18/2025,$383.52,19486850,$387.07,$387.37,$381.10
03/17/2025,$388.70,22474270,$386.70,$392.705,$385.57
03/14/2025,$388.56,19952850,$379.775,$390.23,$379.51
03/13/2025,$378.77,20473020,$383.155,$385.32,$377.45
03/12/2025,$383.27,24253570,$382.95,$385.2165,$378.9507
03/11/2025,$380.45,30380180,$379.00,$386.00,$376.91
03/10/2025,$380.16,32840130,$385.84,$386.40,$377.22
03/07/2025,$393.31,22034090,$392.32,$394.80,$385.54
03/06/2025,$396.89,23304630,$394.28,$402.15,$392.6777
03/05/2025,$401.02,23433130,$389.34,$401.67,$388.81
03/04/2025,$388.61,29342920,$383.40,$392.58,$381.00
03/03/2025,$388.49,23007730,$398.82,$398.82,$386.155
02/28/2025,$396.99,32845660,$392.655,$397.63,$386.57
02/27/2025,$392.53,21127410,$401.265,$405.74,$392.17
02/26/2025,$399.73,19618950,$398.01,$403.60,$394.245
02/25/2025,$397.90,29387400,$401.10,$401.915,$396.70
02/24/2025,$404.00,26443660,$408.51,$409.37,$399.32
02/21/2025,$408.21,27524800,$417.335,$418.048,$407.89
02/20/2025,$416.13,23508730,$415.29,$419.31,$412.54
02/19/2025,$414.77,24114200,$407.88,$415.49,$407.65
02/18/2025,$409.64,21423050,$408.00,$410.597,$406.50
02/14/2025,$408.43,22758460,$407.79,$408.91,$405.88
02/13/2025,$410.54,23891730,$407.00,$411.00,$406.36
02/12/2025,$409.04,19121730,$407.21,$410.75,$404.3673
02/11/2025,$411.44,18140590,$409.64,$412.49,$409.30
02/10/2025,$412.22,20817920,$413.71,$415.4624,$410.92
02/07/2025,$409.75,22886840,$416.48,$418.65,$408.10
02/06/2025,$415.82,16309760,$414.00,$418.20,$414.00
02/05/2025,$413.29,16336190,$412.35,$413.827,$410.40
02/04/2025,$412.37,20532100,$412.685,$413.9199,$409.74
02/03/2025,$410.92,25679150,$411.60,$415.41,$408.66
01/31/2025,$415.06,34223390,$418.98,$420.69,$414.91
01/30/2025,$414.99,54586260,$418.77,$422.86,$413.16
01/29/2025,$442.33,23581370,$446.69,$446.88,$440.40
01/28/2025,$447.20,23491700,$434.60,$448.38,$431.38
01/27/2025,$434.56,35647810,$424.01,$435.20,$423.50
01/24/2025,$444.06,15549450,$445.16,$446.65,$441.40
01/23/2025,$446.71,18389270,$442.00,$446.75,$441.5048
01/22/2025,$446.20,27803810,$437.56,$447.27,$436.00
01/21/2025,$428.50,26085700,$430.20,$430.8999,$425.595
01/17/2025,$429.03,26197510,$434.085,$434.48,$428.17
01/16/2025,$424.58,15300020,$428.695,$429.49,$424.39
01/15/2025,$426.31,19637840,$419.13,$428.15,$418.265
01/14/2025,$415.67,16935860,$417.81,$419.74,$410.72
01/13/2025,$417.19,17604780,$415.235,$418.50,$412.29
01/10/2025,$418.95,20201130,$424.63,$424.71,$415.02
01/08/2025,$424.56,15054580,$423.46,$426.97,$421.54
01/07/2025,$422.37,18139070,$429.00,$430.65,$420.80
01/06/2025,$427.85,20573650,$428.00,$434.32,$425.4774
01/03/2025,$423.35,16662940,$421.08,$424.03,$419.54
01/02/2025,$418.58,16896470,$425.53,$426.07,$414.85
12/31/2024,$421.50,13246510,$426.10,$426.73,$420.66
12/30/2024,$424.83,13158700,$426.06,$427.55,$421.90
12/27/2024,$430.53,18117710,$434.60,$435.22,$426.35
12/26/2024,$438.11,8199927,$439.08,$440.94,$436.63
12/24/2024,$439.33,7164543,$434.65,$439.60,$434.19
12/23/2024,$435.25,19152520,$436.74,$437.65,$432.83
12/20/2024,$436.60,64263690,$433.11,$443.74,$428.63
12/19/2024,$437.03,22963680,$441.62,$443.1834,$436.32
12/18/2024,$437.39,24444550,$451.32,$452.65,$437.02
12/17/2024,$454.46,22733490,$451.01,$455.29,$449.57
12/16/2024,$451.59,23598830,$447.27,$452.18,$445.28
12/13/2024,$447.27,20177830,$448.435,$451.43,$445.58
12/12/2024,$449.56,20834780,$449.11,$456.1648,$449.11
12/11/2024,$448.99,19200210,$444.05,$450.35,$444.05
12/10/2024,$443.33,18469460,$444.39,$449.62,$441.60
12/09/2024,$446.02,19144390,$442.60,$448.33,$440.50
12/06/2024,$443.57,18821000,$442.30,$446.10,$441.7703
12/05/2024,$442.62,21697780,$437.92,$444.66,$436.171
12/04/2024,$437.42,26009430,$433.03,$439.67,$432.63
12/03/2024,$431.20,18301990,$429.84,$432.47,$427.74
12/02/2024,$430.98,20207220,$421.57,$433.00,$421.31
11/29/2024,$423.46,16271920,$420.09,$424.8849,$417.80
11/27/2024,$422.99,18332440,$425.105,$427.2299,$422.02
11/26/2024,$427.99,23458890,$419.585,$429.0414,$418.85
11/25/2024,$418.79,27691090,$418.38,$421.08,$414.85
11/22/2024,$417.00,24814630,$411.365,$417.40,$411.06
11/21/2024,$412.87,20780160,$419.50,$419.78,$410.2887
11/20/2024,$415.49,19191660,$416.87,$417.29,$410.58
11/19/2024,$417.79,18133530,$413.11,$417.94,$411.55
11/18/2024,$415.76,24742010,$414.87,$418.4037,$412.10
11/15/2024,$415.00,28247640,$419.82,$422.80,$413.64
11/14/2024,$426.89,30246880,$425.00,$428.17,$420.00
11/13/2024,$425.20,21502190,$421.64,$429.325,$418.21
11/12/2024,$423.03,19401200,$418.25,$424.44,$417.20
11/11/2024,$418.01,24503320,$422.515,$424.81,$416.00
11/08/2024,$422.54,16891410,$425.32,$426.50,$421.78
11/07/2024,$425.43,19901780,$421.28,$426.85,$419.88
11/06/2024,$420.18,26681840,$412.42,$420.45,$410.52
11/05/2024,$411.46,17626010,$408.37,$414.90,$408.08
11/04/2024,$408.46,19672290,$409.80,$410.415,$405.5713
11/01/2024,$410.37,24230440,$409.01,$415.50,$407.50
10/31/2024,$406.35,53970980,$415.36,$416.16,$406.30
10/30/2024,$432.53,29749150,$437.435,$438.50,$432.10
10/29/2024,$431.95,17644080,$428.00,$433.17,$425.8001
10/28/2024,$426.59,14882440,$431.655,$431.94,$426.30
10/25/2024,$428.15,16899060,$426.76,$432.52,$426.565
10/24/2024,$424.73,13581630,$425.325,$425.9782,$422.40
10/23/2024,$424.60,19654380,$430.855,$431.08,$422.53
10/22/2024,$427.51,25482200,$418.49,$430.5793,$418.04
10/21/2024,$418.78,14206120,$416.12,$418.96,$413.7501
10/18/2024,$418.16,17145320,$417.14,$419.65,$416.2601
10/17/2024,$416.72,14820000,$422.36,$422.50,$415.59
10/16/2024,$416.12,15508930,$415.17,$416.36,$410.48
10/15/2024,$418.74,18900200,$422.18,$422.48,$415.26
10/14/2024,$419.14,16653090,$417.77,$424.04,$417.52
10/11/2024,$416.32,14144940,$416.135,$417.13,$413.25
10/10/2024,$415.84,13848380,$415.225,$417.35,$413.15
10/09/2024,$417.46,14974260,$415.86,$420.38,$414.30
10/08/2024,$414.71,19229260,$410.90,$415.66,$408.17
10/07/2024,$409.54,20919760,$416.00,$417.11,$409.00
10/04/2024,$416.06,19190910,$418.24,$419.75,$414.97
10/03/2024,$416.54,13686420,$417.63,$419.55,$414.29
10/02/2024,$417.13,16582260,$422.58,$422.82,$416.71
10/01/2024,$420.69,19092950,$428.45,$428.48,$418.81
09/30/2024,$430.30,16854610,$428.21,$430.42,$425.37
09/27/2024,$428.02,14896130,$431.52,$431.85,$427.47
09/26/2024,$431.31,14492040,$435.085,$435.30,$429.13
09/25/2024,$432.11,13396360,$429.83,$433.119,$428.57
09/24/2024,$429.17,17015750,$433.00,$433.35,$426.10
09/23/2024,$433.51,15128890,$434.28,$436.46,$430.3889
09/20/2024,$435.27,55167110,$437.22,$439.24,$434.22
09/19/2024,$438.69,21706560,$441.225,$441.50,$436.90
09/18/2024,$430.81,18898040,$435.00,$436.03,$430.41
09/17/2024,$435.15,18874230,$440.23,$441.85,$432.27
09/16/2024,$431.34,13834700,$430.60,$433.53,$428.22
09/13/2024,$430.59,15874560,$425.825,$431.83,$425.46
09/12/2024,$427.00,17418760,$423.31,$427.3692,$419.75
09/11/2024,$423.04,19266920,$415.50,$423.99,$409.58
09/10/2024,$414.20,19594290,$408.20,$416.33,$407.70
09/09/2024,$405.72,15295130,$407.24,$408.65,$402.15
09/06/2024,$401.70,19609530,$409.06,$410.65,$400.80
09/05/2024,$408.39,14195520,$407.62,$413.10,$406.13
09/04/2024,$408.90,15135810,$405.91,$411.24,$404.37
09/03/2024,$409.44,20313600,$417.91,$419.88,$407.03
08/30/2024,$417.14,24308320,$415.60,$417.49,$412.13
08/29/2024,$413.12,17045240,$414.94,$422.05,$410.60
08/28/2024,$410.60,14882660,$414.88,$415.00,$407.31
08/27/2024,$413.84,13492910,$412.86,$414.36,$410.25
08/26/2024,$413.49,13152830,$416.365,$417.2799,$411.34
08/23/2024,$416.79,18493780,$416.98,$419.26,$412.09
08/22/2024,$415.55,19361900,$424.36,$426.7899,$414.61
08/21/2024,$424.14,16067300,$424.075,$426.40,$421.72
08/20/2024,$424.80,16387580,$421.70,$425.86,$421.64
08/19/2024,$421.53,15233960,$418.96,$421.75,$416.46
08/16/2024,$418.47,22775590,$420.60,$421.34,$417.30
08/15/2024,$421.03,20752140,$419.80,$421.11,$417.66
08/14/2024,$416.86,18266980,$414.80,$417.72,$412.4456
08/13/2024,$414.01,19414270,$409.59,$414.95,$409.57
08/12/2024,$406.81,16762880,$407.06,$408.76,$404.2434
08/09/2024,$406.02,19276670,$404.03,$408.05,$402.2624
08/08/2024,$402.69,20203030,$402.44,$405.86,$399.9407
08/07/2024,$398.43,20650910,$408.635,$410.08,$397.47
08/06/2024,$399.61,24946530,$400.00,$405.67,$398.50
08/05/2024,$395.15,40709240,$389.17,$401.04,$385.58
08/02/2024,$408.49,29437900,$412.49,$415.00,$404.34
08/01/2024,$417.11,30296400,$420.785,$427.46,$413.0901
07/31/2024,$418.35,42891370,$420.495,$421.775,$412.21
07/30/2024,$422.92,32687580,$427.72,$429.05,$417.36
07/29/2024,$426.73,15125840,$431.58,$432.15,$424.7042
07/26/2024,$425.27,23583840,$418.20,$428.915,$417.27
07/25/2024,$418.40,29943800,$428.80,$429.80,$417.51
