Date,Close/Last,Volume,Open,High,Low
04/11/2023,$186.79,115770900,$186.69,$189.19,$185.6475
04/10/2023,$184.51,142154600,$179.94,$185.10,$176.11
04/06/2023,$185.06,123857900,$183.08,$186.39,$179.74
04/05/2023,$185.52,133882500,$190.515,$190.68,$183.76
04/04/2023,$192.58,126463800,$197.32,$198.7446,$190.32
04/03/2023,$194.77,169545900,$199.91,$202.6897,$192.20
03/31/2023,$207.46,170222100,$197.53,$207.79,$197.20
03/30/2023,$195.28,110252200,$195.58,$197.33,$194.42
03/29/2023,$193.88,123660000,$193.13,$195.29,$189.44
03/28/2023,$189.19,98654640,$192.00,$192.35,$185.43
03/27/2023,$191.81,120851600,$194.415,$197.39,$189.94
03/24/2023,$190.41,116531600,$191.65,$192.36,$187.15
03/23/2023,$192.22,144193900,$195.26,$199.31,$188.65
03/22/2023,$191.15,150376400,$199.30,$200.66,$190.95
03/21/2023,$197.58,153391400,$188.28,$198.00,$188.04
03/20/2023,$183.25,129684400,$178.08,$186.44,$176.35
03/17/2023,$180.13,133197100,$184.515,$186.2199,$177.33
03/16/2023,$184.13,121374500,$180.365,$185.81,$178.84
03/15/2023,$180.45,145995600,$180.80,$182.34,$176.03
03/14/2023,$183.26,143717900,$177.31,$183.80,$177.1401
03/13/2023,$174.48,167790300,$167.455,$177.35,$163.91
03/10/2023,$173.44,191488900,$175.13,$178.29,$168.44
03/09/2023,$172.92,170023800,$180.25,$185.18,$172.5124
03/08/2023,$182.00,151897800,$185.04,$186.50,$180.00
03/07/2023,$187.71,148125800,$191.38,$194.20,$186.10
03/06/2023,$193.81,128100100,$198.54,$198.60,$192.30
03/03/2023,$197.79,154193300,$194.795,$200.48,$192.88
03/02/2023,$190.90,181979200,$186.74,$193.7499,$186.01
03/01/2023,$202.77,156852800,$206.21,$207.20,$198.52
02/28/2023,$205.71,153144900,$210.59,$211.23,$203.75
02/27/2023,$207.63,161028300,$202.03,$209.42,$201.26
02/24/2023,$196.88,142228100,$196.325,$197.6695,$192.80
02/23/2023,$202.07,146360000,$203.91,$205.14,$196.33
02/22/2023,$200.86,191828500,$197.93,$201.99,$191.78
02/21/2023,$197.37,180018600,$204.99,$209.71,$197.22
02/17/2023,$208.31,213738500,$199.985,$208.44,$197.50
02/16/2023,$202.04,229586500,$210.78,$217.65,$201.84
02/15/2023,$214.24,182108600,$211.755,$214.66,$206.11
02/14/2023,$209.25,216455700,$191.94,$209.82,$189.44
02/13/2023,$194.64,172475500,$194.415,$196.30,$187.61
02/10/2023,$196.89,204754100,$202.225,$206.20,$192.89
02/09/2023,$207.32,215431400,$207.775,$214.00,$204.77
02/08/2023,$201.29,180673600,$196.10,$203.00,$194.31
02/07/2023,$196.81,186010300,$196.43,$197.50,$189.55
02/06/2023,$194.76,186188100,$193.01,$198.17,$189.92
02/03/2023,$189.98,232662000,$183.95,$199.00,$183.69
02/02/2023,$188.27,217448300,$187.325,$196.7501,$182.61
02/01/2023,$181.41,213806300,$173.89,$183.805,$169.93
01/31/2023,$173.22,196813500,$164.57,$174.30,$162.78
01/30/2023,$166.66,230878800,$178.05,$179.77,$166.50
01/27/2023,$177.90,306590600,$162.43,$180.68,$161.17
01/26/2023,$160.27,234815100,$159.965,$161.42,$154.76
01/25/2023,$144.43,192734300,$141.905,$146.41,$138.07
01/24/2023,$143.89,158699100,$143.00,$146.50,$141.10
01/23/2023,$143.75,203119200,$135.87,$145.3793,$134.27
01/20/2023,$133.42,138858100,$128.68,$133.51,$127.3466
01/19/2023,$127.17,170291900,$127.26,$129.99,$124.3082
01/18/2023,$128.78,195680300,$136.555,$136.68,$127.01
01/17/2023,$131.49,186477000,$125.695,$131.70,$125.02
01/13/2023,$122.40,180714100,$116.55,$122.63,$115.60
01/12/2023,$123.56,169400900,$122.56,$124.1311,$117.00
01/11/2023,$123.22,183810800,$122.09,$125.95,$120.51
01/10/2023,$118.85,167642500,$121.07,$122.76,$114.92
01/09/2023,$119.77,190284000,$118.96,$123.52,$117.11
01/06/2023,$113.06,220911100,$103.00,$114.39,$101.81
01/05/2023,$110.34,157986300,$110.51,$111.75,$107.1601
01/04/2023,$113.64,180389000,$109.11,$114.59,$107.52
01/03/2023,$108.10,231402800,$118.47,$118.80,$104.64
12/30/2022,$123.18,157777300,$119.95,$124.48,$119.75
12/29/2022,$121.82,221923300,$120.385,$123.57,$117.495
12/28/2022,$112.71,221070500,$110.35,$116.27,$108.24
12/27/2022,$109.10,208643400,$117.495,$119.67,$108.76
12/23/2022,$123.15,166989700,$126.37,$128.6173,$121.02
12/22/2022,$125.35,210090300,$136.00,$136.63,$122.26
12/21/2022,$137.57,145417400,$139.335,$141.26,$135.89
12/20/2022,$137.80,159563300,$146.05,$148.47,$137.66
12/19/2022,$149.87,139390600,$154.00,$155.25,$145.82
12/16/2022,$150.23,139032200,$159.635,$160.99,$150.04
12/15/2022,$157.67,122334500,$153.44,$160.9299,$153.28
12/14/2022,$156.80,140682300,$159.25,$161.62,$155.31
12/13/2022,$160.95,175862700,$174.87,$175.05,$156.91
12/12/2022,$167.82,109794500,$176.10,$177.37,$167.52
12/09/2022,$179.05,104872300,$173.84,$182.50,$173.36
12/08/2022,$173.44,97624490,$172.20,$175.20,$169.06
12/07/2022,$174.04,84213280,$175.03,$179.38,$172.218
12/06/2022,$179.82,92150820,$181.215,$183.65,$175.33
12/05/2022,$182.45,93122670,$189.44,$191.27,$180.55
12/02/2022,$194.86,73645920,$191.78,$196.25,$191.11
12/01/2022,$194.70,80046210,$197.08,$198.92,$191.80
11/30/2022,$194.70,109186400,$182.43,$194.76,$180.6301
11/29/2022,$180.83,83357110,$184.99,$186.38,$178.75
11/28/2022,$182.92,93038150,$179.96,$188.50,$179.00
11/25/2022,$182.86,50672740,$185.06,$185.20,$180.63
11/23/2022,$183.20,109536700,$173.57,$183.62,$172.50
11/22/2022,$169.91,78452330,$168.63,$170.92,$166.185
11/21/2022,$167.87,92882710,$175.85,$176.77,$167.54
11/18/2022,$180.19,76048870,$185.05,$185.19,$176.55
